id,name,type,price,city,avg_duration,rating,description
1,المتحف المصري بالتحرير,museum,150.0,القاهرة,3.0,5.0,خروجة ثقافية تاريخية في وسط البلد متاحف وآثار مصرية قديمة مناسبة للشباب والعائلات هدوء واستكشاف
2,زيارة قلعة صلاح الدين,monument,150.0,القاهرة,2.5,4.9,خروجة تاريخية ثقافية في الهواء الطلق مناظر طبيعية وتاريخ إسلامي وأثرية الفسحة بتقدم رؤية كاملة للقاهرة
3,مجمع الأديان بمصر القديمة,monument,0.0,القاهرة,2.0,4.8,مكان أثري تاريخي ديني ثقافي هادئ جداً مناسب للتمشي والتصوير خروجة مجانية تماماً واقتصادية
4,مطعم كشري أبو طارق,restaurant,80.0,القاهرة,1.0,4.7,أكل شعبي كشري مصري سريع وموفر ومناسب للغداء خروجة شبابية وعائلية اقتصادية جداً وسط البلد
5,كافيه رايق في الزمالك,cafe,180.0,القاهرة,2.0,4.6,مكان هادئ كافيه ومشروبات وقعدة رايقة على النيل ومناسب للقراءة أو المقابلات الشبابية رومانسية
6,مطعم كبابجي الرفاعي,restaurant,250.0,القاهرة,1.5,4.8,أكل شرقي مشويات كباب وكفتة شعبي في السيدة زينب خروجة أكل دسمة عائلية وشبابية مشهورة
7,حديقة الأزهر,entertainment,60.0,القاهرة,4.0,4.7,خروجة وتفسح في الهواء الطلق مساحات خضراء واسعة مناسبة للعائلات والأطفال والشباب قعدة رايقة وفيها مطاعم
8,سينما جالاكسي المنيل,entertainment,140.0,القاهرة,2.5,4.5,خروجة ترفيهية أفلام سينما جديدة ومشروبات مناسبة للشباب فسحة بليل زحمة وتسلية ومسلية
9,مكتبة الإسكندرية,museum,50.0,الإسكندرية,3.0,4.9,صرح ثقافي علمي تاريخي هادئ جداً مناسب للقراءة والاستكشاف على البحر مباشرة خروجة شبابية ودراسة
10,قلعة قايتباي,monument,100.0,الإسكندرية,2.0,4.8,خروجة تاريخية أثرية على البحر هواء طلق تصوير وتمشي مناسبة جداً للشباب والعائلات في الإسكندرية
11,مطعم كبدة الفلاح,restaurant,60.0,الإسكندرية,0.5,4.7,أكل شعبي سريع كبدة إسكندراني مشهورة جداً خروجة شبابية سريعة واقتصادية وموفرة على الآخر
12,جيلاتي عزة بحري,cafe,40.0,الإسكندرية,0.5,4.6,حلويات آيس كريم جيلاتي على الممشى خروجة سريعة حلو بعد الأكل قعدة على البحر حلوى اقتصادية
13,برج القاهرة,monument,100.0,القاهرة,1.5,4.7,خروجة سياحية ترفيهية في الزمالك رؤية بانورامية للقاهرة بالكامل من الأعلى مناسبة للتصوير والشباب والعائلات بليل وفيها كافيه ومطعم
14,مطعم بلبع للمشويات,restaurant,300.0,القاهرة,1.5,4.6,أكل شرقي مشويات كباب وكفتة وحمام وفراخ قعدة عائلية ومجموعات كبيرة أكل دسم ومشهور في مدينة نصر
15,حديقة الأورمان,entertainment,20.0,الجيزة,3.0,4.4,خروجة طبيعية هادئة في الهواء الطلق أشجار ونباتات نادرة مساحات خضراء واسعة رخيصة جداً واقتصادية مناسبة للفسح العائلية والتمشي بالنهار
16,مول مصر وسكي مصر,entertainment,450.0,الجيزة,4.0,4.8,خروجة ترفيهية فاخرة في أكتوبر العاب جليد وتزلج وسينمات ومحلات تجارية مكيفة غالية ومناسبة للشباب والأطفال تجربة مميزة ومختلفة
17,شارع المعز لدين الله الفاطمي,monument,0.0,القاهرة,3.0,4.9,خروجة تاريخية إسلامية مفتوحة أثرية في الحسين تمشي وتصوير وأجواء رمضانية وتراثية مجانية تماماً واقتصادية وقريبة من كافيهات الفيشاوي
18,مطعم البرنس,restaurant,200.0,القاهرة,1.0,4.7,أكل شرقي طواجن كبدة ولحمة وملوخية شعبي مشهور جداً في إمبابة زحمة وأجواء شعبية حماسية مناسب للشباب والأكيلة
19,متحف الحضارة بالفسطاط NMEC,museum,100.0,القاهرة,3.5,4.9,خروجة ثقافية عالمية متحف المومياوات الملكية متطور وحديث ومنظم جداً هدوء واستكشاف مناسب للعائلات والشباب والمهتمين بالتاريخ
20,قصر البارون إمبان,monument,80.0,القاهرة,2.0,4.7,خروجة أثرية تاريخية في مصر الجديدة تحفة معمارية على الطراز الهندي تصوير ومزار ثقافي ممتع ومناسب للفسح السريعة
21,مطعم بافلو برجر,restaurant,150.0,القاهرة,1.0,4.5,وجبات سريعة برجر لحم وفراخ وبطاطس مناسب للشباب خروجة أكل سريعة ومودرن منتشر في أغلب المولات والمناطق
22,كافيه بينوس المعادي,cafe,120.0,القاهرة,2.0,4.4,مكان هادئ كافيه قهوة ومشروبات وسندوتشات خفيفة في المعادي مناسب للمذاكرة والعمل والمقابلات الهادئة والرايقة
23,سان سيتانو ويخت بحري,entertainment,200.0,الإسكندرية,2.0,4.8,خروجة بحرية ترفيهية جولة باليخت في البحر من الأنفوشي أو بحري مناسبة للشباب والمجموعات تصوير وأجواء حماسية وممتعة
